codigo,sigla_uf,nome,regiao,porte,media_mortes,municipalizacao,cluster_A,cluster_B,cluster_C,PC1
172025,TO,São Salvador do Tocantins,Norte,Menor porte,0.3333333333333333,Não municipalizado,1,1,1,0.499748672475152
172030,TO,São Sebastião do Tocantins,Norte,Menor porte,1,Não municipalizado,2,1,1,-1.92352754154567
172049,TO,São Valério,Norte,Menor porte,1.6666666666666667,Não municipalizado,2,1,1,-2.64380404168675
172065,TO,Silvanópolis,Norte,Menor porte,1,Não municipalizado,1,3,3,0.297993803250106
172080,TO,Sítio Novo do Tocantins,Norte,Menor porte,1.6666666666666667,Não municipalizado,1,1,1,-0.564722003630992
172085,TO,Sucupira,Norte,Menor porte,0.3333333333333333,Não municipalizado,3,1,3,0.516694965701178
172090,TO,Taguatinga,Norte,Menor porte,1.6666666666666667,Não municipalizado,1,1,1,0.922545746704327
172097,TO,Talismã,Norte,Menor porte,1.3333333333333333,Não municipalizado,2,3,1,-3.30618738315388
172110,TO,Tocantínia,Norte,Menor porte,0.3333333333333333,Não municipalizado,3,1,1,1.61078052664314
172125,TO,Tupirama,Norte,Menor porte,0.6666666666666666,Não municipalizado,2,3,3,-2.06129780696412
172130,TO,Tupiratins,Norte,Menor porte,0.3333333333333333,Não municipalizado,1,1,1,-0.0122224265515865
172208,TO,Wanderlândia,Norte,Menor porte,6,Não municipalizado,2,1,1,-4.4703382618719
172210,TO,Xambioá,Norte,Menor porte,2.6666666666666665,Não municipalizado,2,1,3,-0.745882119110624
210015,MA,Água Doce do Maranhão,Nordeste,Menor porte,0.3333333333333333,Não municipalizado,1,1,1,0.930179136829279
210040,MA,Altamira do Maranhão,Nordeste,Menor porte,0.6666666666666666,Não municipalizado,1,1,1,0.219969991881399
210055,MA,Amapá do Maranhão,Nordeste,Menor porte,1.3333333333333333,Não municipalizado,2,1,1,-1.78464054934949
210080,MA,Anapurus,Nordeste,Menor porte,2.3333333333333335,Não municipalizado,1,1,1,-1.32570826553739
210083,MA,Apicum-Açu,Nordeste,Menor porte,0.3333333333333333,Não municipalizado,1,1,1,1.1432115833242
210110,MA,Axixá,Nordeste,Menor porte,1,Municipalizado,1,1,1,0.732555446497545
210125,MA,Bacabeira,Nordeste,Menor porte,7,Não municipalizado,2,1,1,-3.16277121887068
210130,MA,Bacuri,Nordeste,Menor porte,1,Não municipalizado,1,1,1,0.174737206011889
210135,MA,Bacurituba,Nordeste,Menor porte,0.6666666666666666,Não municipalizado,1,1,1,-0.447641728667925
210177,MA,Bela Vista do Maranhão,Nordeste,Menor porte,1,Não municipalizado,1,1,1,0.289633135675783
210197,MA,Boa Vista do Gurupi,Nordeste,Menor porte,1.3333333333333333,Não municipalizado,2,1,1,-2.19388715504991
210207,MA,Bom Lugar,Nordeste,Menor porte,0.3333333333333333,Municipalizado,1,1,1,1.39914812341274
210215,MA,Brejo de Areia,Nordeste,Menor porte,0.3333333333333333,Não municipalizado,3,1,1,1.64807360257963
210235,MA,Buritirana,Nordeste,Menor porte,1.6666666666666667,Não municipalizado,1,1,1,-0.158976050173065
210237,MA,Cachoeira Grande,Nordeste,Menor porte,0.3333333333333333,Não municipalizado,1,1,1,0.906631744377566
210240,MA,Cajapió,Nordeste,Menor porte,1,Não municipalizado,1,1,1,0.0450520196453424
210250,MA,Cajari,Nordeste,Menor porte,1,Não municipalizado,3,1,1,1.12430398451128
210255,MA,Campestre do Maranhão,Nordeste,Menor porte,4.666666666666667,Não municipalizado,2,1,1,-2.36059644887849
210275,MA,Capinzal do Norte,Nordeste,Menor porte,1.6666666666666667,Não municipalizado,1,1,1,-0.0537905618663723
210312,MA,Central do Maranhão,Nordeste,Menor porte,1,Não municipalizado,1,1,1,-0.909753604379784
210315,MA,Centro do Guilherme,Nordeste,Menor porte,2,Não municipalizado,2,1,1,-2.31617060183358
210325,MA,Cidelândia,Nordeste,Menor porte,5,Não municipalizado,2,1,1,-1.86951983246935
210355,MA,Conceição do Lago-Açu,Nordeste,Menor porte,0.3333333333333333,Municipalizado,1,1,1,1.26374923573887
210375,MA,Davinópolis,Nordeste,Menor porte,1,Municipalizado,1,1,1,0.427280719492745
210390,MA,Duque Bacelar,Nordeste,Menor porte,1,Não municipalizado,1,1,1,-0.29435118995416
210400,MA,Esperantinópolis,Nordeste,Menor porte,4,Não municipalizado,1,1,1,-1.11524985012477
210407,MA,Feira Nova do Maranhão,Nordeste,Menor porte,1,Não municipalizado,3,1,1,0.304901703342108
210409,MA,Formosa da Serra Negra,Nordeste,Menor porte,1,Não municipalizado,3,1,1,0.509227692315793
210410,MA,Fortaleza dos Nogueiras,Nordeste,Menor porte,5.666666666666667,Não municipalizado,2,1,1,-2.92527648318176
210420,MA,Fortuna,Nordeste,Menor porte,3.6666666666666665,Não municipalizado,2,1,1,-1.37011896796773
210430,MA,Godofredo Viana,Nordeste,Menor porte,0.3333333333333333,Não municipalizado,3,1,1,1.56138777619161
210440,MA,Gonçalves Dias,Nordeste,Menor porte,1.3333333333333333,Não municipalizado,1,1,1,0.316632232351375
210450,MA,Governador Archer,Nordeste,Menor porte,1,Não municipalizado,1,1,1,0.320352932658832
210455,MA,Governador Edison Lobão,Nordeste,Menor porte,7,Não municipalizado,2,1,1,-2.95334918614675
210460,MA,Governador Eugênio Barros,Nordeste,Menor porte,3,Não municipalizado,1,1,1,-0.779620354648701
210462,MA,Governador Luiz Rocha,Nordeste,Menor porte,0.6666666666666666,Não municipalizado,1,1,1,0.838946138366677
210470,MA,Graça Aranha,Nordeste,Menor porte,0.6666666666666666,Não municipalizado,1,1,1,0.560220651149239
210490,MA,Guimarães,Nordeste,Menor porte,1.6666666666666667,Não municipalizado,2,1,1,-1.28053209628825
210515,MA,Igarapé do Meio,Nordeste,Menor porte,1.3333333333333333,Não municipalizado,3,1,1,0.462576207002449
210520,MA,Igarapé Grande,Nordeste,Menor porte,4.333333333333333,Não municipalizado,2,1,1,-2.72748680939094
210545,MA,Jatobá,Nordeste,Menor porte,1.3333333333333333,Não municipalizado,1,1,1,-0.658375024862391
